Unnamed: 0,project_name,repo_link,score,lang,lines_of_code,num_collaborators,num_branches,loc_per_commit
0,uwcbc-marimba,https://github.com/uwcbc/uwcbc-marimba,61.81,cs,11104.0,2.0,2.0,"(None, None, None, None)"
1,XMCM,https://github.com/SunnySoldier357/XMCM,61.82,cs,11766.0,1.0,2.0,"(958.65, -257.9, 1348.664763757102, 364.72567773602117)"
0,SourceYard,https://github.com/dotnet-campus/SourceYard,6.17,cs,2868.0,6.0,2.0,"(29.91043967874231, -10.391276866408445, 50.7919385851756, 13.888191985908845)"
0,vc-storefront-core-samples,https://github.com/VirtoCommerce/vc-storefront-core-samples,61.92,cs,167495.0,33.0,3.0,"(1702.2683763439472, -129.39048151037971, 15739.728476191609, 554.1968508392855)"
0,Remous,https://github.com/gotmachine/Remous,62.08,cs,1751.0,1.0,1.0,"(417.11875, -181.89375, 508.1534494649475, 233.76066302550777)"
0,Arma-3-Life-France-Launcher,https://github.com/loann25310/Arma-3-Life-France-Launcher,62.37,cs,1180.0,1.0,1.0,"(1087.6666666666667, -1543.0666666666666, 994.7106782041366, 2620.6369480210974)"
0,Intel8086,https://github.com/NeatMonster/Intel8086,62.52,java,2972.0,1.0,1.0,"(1002.4116161616162, -940.748106060606, 1381.4628486402548, 1230.9622381859258)"
0,java6-to-java8,https://github.com/duke-certification/java6-to-java8,62.71,java,4559.0,3.0,2.0,"(74.95968305343519, -13.574972572390422, 61.27003023459206, 26.626479390347285)"
0,HotReload,https://github.com/AndreiMisiukevich/HotReload,62.86,cs,21319.0,13.0,2.0,"(221.1905764896738, -137.92392373198678, 739.4840395454003, 694.4730291659254)"
0,TeraMath,https://github.com/MovingBlocks/TeraMath,62.98,java,4597.0,10.0,2.0,"(128.40458768873404, -37.8931475029036, 149.7792121220347, 80.64574761996003)"
0,RapChessGui,https://github.com/Thibor/RapChessGui,63.21,cs,7668.0,1.0,1.0,"(827.0090633238941, -759.8111155594614, 2521.747768885711, 2569.789290988945)"
0,advanced-bindings,https://github.com/manuel-mauky/advanced-bindings,63.25,java,2988.0,3.0,2.0,"(79.7521978021978, -19.636446886446887, 64.52203089069576, 25.902383861167316)"
0,PdfLibCore,https://github.com/jbaarssen/PdfLibCore,6.18,cs,9302.0,2.0,2.0,"(2104.127705627706, -185.35497835497836, 3182.8392347683425, 223.41732275456974)"
1,swamp-eclipse-plugin,https://github.com/mirswamp/swamp-eclipse-plugin,6.18,java,8661.0,4.0,3.0,"(130.56197809620718, -73.24705564232809, 314.2060403232681, 261.2085039653466)"
0,SimpleXML,https://github.com/MERZAK-X/SimpleXML,63.54,cs,1610.0,1.0,1.0,"(10694.743127349624, -1920.7371162280701, 23549.686361369655, 3083.32320145352)"
0,Drag-Racing-Plugin,https://github.com/kesselone/Drag-Racing-Plugin,63.6,cs,1794.0,1.0,1.0,"(1812.8, -164.56666666666666, 2472.8897859252306, 197.07391732263528)"
0,StaticWebEpiserverPlugin,https://github.com/7h3Rabbit/StaticWebEpiserverPlugin,6.18,cs,2574.0,1.0,2.0,"(62.355308183879615, -24.55072665429808, 82.22341314317788, 33.6699366807922)"
0,Xamarin-Droid-Builder,https://github.com/fahimshahrierrasel/Xamarin-Droid-Builder,64.17,cs,11576.0,1.0,1.0,"(373.1458333333333, -100.5625, 517.8084033063989, 140.80263780377126)"
0,NetStalker,https://github.com/hmz777/NetStalker,64.39,cs,5436.0,1.0,1.0,"(482.3286628905375, -429.72423087973624, 1502.2347992262485, 1469.6828633661535)"
0,XV2SuperSoulEditor,https://github.com/o0DemonBoy0o/XV2SuperSoulEditor,64.56,cs,6510.0,2.0,1.0,"(1037.4550264550264, -479.19312169312167, 1259.3766002596678, 750.0531964281435)"
